Date ,Tweet,,,,,,,,,,Mention
3/15/16 16:07,"Bayugan City, Agusan Del Sur niyanig ng 3.7 magnitude na lindol kaninang 7:10AM. Intensity III naitala sa Butuan City | @chonayu1",,,,,,,,,,@dzIQ990
3/3/16 16:05,"#LINDOL - 12:23AM | 219 km SE of Sarangani, #Davao Occidental Mag. 5.1 - @phivolcs_dost",,,,,,,,,,@IMReadyPH
3/1/16 23:51,"Gutalac, Zamboanga del Norte, niyanig ng magnitude 3.4 na lindol. | via @phivolcs_dost",,,,,,,,,,@dzbb
2/28/16 12:25,"Anda, Bohol niyanig ng magnitude 4.6 na lindol ngayong 5:01 ng umaga | @phivolcs_dost",,,,,,,,,,@dzIQ990
2/28/16 11:56,"Magnitude 5.6 na lindol, tumama sa karagatan ng Sarangani - DZIQ Radyo Inquirer 990AM",,,,,,,,,,@dzIQ990
2/27/16 18:47,"JUST IN: T'boli,South Cotabato niyanig ng magnitude 3.7 na lindol(10:43AM)",,,,,,,,,,@dzrhnews
2/24/16 21:54,"JUST IN: Magnitude 4.0 na lindol naitala sa Anini-y, Antique (1:10PM)",,,,,,,,,,@dzrhnews
2/21/16 17:55,"JUST IN: 2.8 magnitude lindol naitala sa Calayan, Cagayan (10:30AM)",,,,,,,,,,@dzrhnews
2/21/16 16:12,"Batac, Ilocos Norte niyanig ng magnitude 3.2 na lindol ngayong 8:49AM. Intensity II naramdaman sa Pasuquin, Ilocos Norte | @phivolcs_dost",,,,,,,,,,@dzIQ990
2/18/16 9:34,"FLASH: Masbate, niyanig ng Magnitude 4.8 na lindol; Intensity 4, naramdaman sa Masbate City at bayan ng San Jacinto. | @luisitosantos03",,,,,,,,,,@dzbb
2/15/16 13:48,"FLASH: Botolan, Zambales, niyanig ng magnitude 3.6 na lindol; intensity II, ramdam naman sa Iba. | via @allangatus",,,,,,,,,,@dzbb
2/15/16 12:33,"Jose Abad Santos, Davao Occidental, niyanig ng magnitude 3.4 na lindol kaninang 4:07AM | via @phivolcs_dost",,,,,,,,,,@DZAR1026
2/14/16 17:43,"#UPDATE: Bislig City, niyanig ng magnitude 3.1 na lindol (1:01AM) http://fb.me/TDHZTeAJ  I",,,,,,,,,,@dzrhnews
3/5/16 10:17,#EarthquakePH #EarthquakeQuezon Lalawigan ng Quezon: 4.6 magnitude lindol.,,,,,,,,,,@dzrhnews
2/16/16 7:09,#EarthquakePH Information No. 1 Location: Manay (Davao Oriental) Depth: 014 Magnitude: Ms 3.4 | via @phivolcs_dost,,,,,,,,,,@philredcross 
2/10/16 5:33,#EarthquakePH Information No. 2 Date and Time: 10 Feb 2016 Location: General Luna (Quezon) Magnitude: Ms 3.2,,,,,,,,,,@philredcross 
10/19/15 6:34,5.4-magnitude quake strikes off Occidental Mindoro,,,,,,,,,,@cnnphilippines
10/15/15 1:33,@phivolcs_dost: #EarthquakePH information number 2 Magnitude = 4.2 Depth = 064km Location = Kawayan (Biliran),,,,,,,,,,@philredcross 
9/26/15 20:48,@phivolcs_dost: #EarthquakePH 07 Sep. 2015 12:09 PM Magnitude = 3.9 Depth = 010 kilometers Location =Zamboanga City,,,,,,,,,,@philredcross 
9/3/15 8:11,#EarthquakePH Information No. 1 03 Sep. 2015 11:37PM Magnitude =3.2 Depth=025 kilometers Location=Palauig (Zambales),,,,,,,,,,@philredcross 
9/1/15 18:14,@phivolcs_dost #EarthquakePH Information No. 2: Magnitude = 5.5 Depth = 295 kilometers Location = Sarangani,,,,,,,,,,@philredcross 
8/14/15 5:48,"#EarthquakePH Magnitude = 3.2 Depth = 28 km Location = 16.87ŒÁN, 120.28ŒÁE - 028 km N 07ŒÁ W of San Fernando (La Union)",,,,,,,,,,@philredcross 
8/12/15 3:38,"Laak, Compostela Valley, niyanig ng 3.3 magnitude na lindol kaninang 4:30am. | #EarthquakePH",,,,,,,,,,@philredcross 
8/2/15 6:01,Magnitude = 5.0 Depth = 607km Location = Aurora (Zamboanga Del Sur) | via @phivolcs_dost #EarthquakePH,,,,,,,,,,@philredcross 
